iter	Logloss
0	0.6022199788
1	0.550572286
2	0.5186852147
3	0.4925500287
4	0.4796229603
5	0.4687231959
6	0.4591349994
7	0.4511072584
8	0.4461506809
9	0.4411487101
10	0.4373255921
11	0.4343511272
12	0.4316536739
13	0.4271275281
14	0.4235032913
15	0.4195931153
16	0.4164294355
17	0.4135331185
18	0.4110948408
19	0.4070775763
20	0.4056494098
21	0.4036190408
22	0.4008852723
23	0.3990358264
24	0.3965054257
25	0.3932481306
26	0.3917476766
27	0.390556698
28	0.3891624014
29	0.3867270657
30	0.3844446283
31	0.3827395136
32	0.3801797641
33	0.3791639546
34	0.3778574026
35	0.3760361245
36	0.3738764448
37	0.3730416184
38	0.372221253
39	0.3709016962
40	0.3695670232
41	0.367213269
42	0.3658431913
43	0.3648489982
44	0.3638535199
45	0.3623972046
46	0.3611729556
47	0.3587121414
48	0.3566719117
49	0.3553800254
50	0.3540133229
51	0.352407255
52	0.3509348
53	0.3486149602
54	0.3473259512
55	0.3465211828
56	0.3451819852
57	0.343567456
58	0.3415291214
59	0.340211661
60	0.3390806054
61	0.3380251552
62	0.3364362132
63	0.3352180679
64	0.3329271389
65	0.330287112
66	0.3284906207
67	0.3272596912
68	0.3258013636
69	0.3242143888
70	0.3228728033
71	0.3212642166
72	0.3206403587
73	0.3195639947
74	0.318205389
75	0.317470075
76	0.3162487565
77	0.3150632619
78	0.3142842832
79	0.3127921577
80	0.3119337073
81	0.3114756363
82	0.3104141433
83	0.308432325
84	0.3068837088
85	0.3062182557
86	0.3052855619
87	0.30409819
88	0.3030659653
89	0.3026263873
90	0.3016778463
91	0.3008478952
92	0.2995644748
93	0.2987564204
94	0.2976758286
95	0.29708149
96	0.2964122042
97	0.2954480028
98	0.2948155867
99	0.2943282038
