iter	Passed	Remaining
0	155	15429
1	161	7929
2	167	5417
3	173	4158
4	178	3398
5	184	2891
6	191	2538
7	196	2256
8	201	2036
9	206	1858
10	211	1712
11	216	1589
12	221	1484
13	226	1394
14	233	1324
15	239	1256
16	244	1193
17	249	1137
18	254	1085
19	260	1040
20	265	998
21	270	957
22	275	921
23	280	886
24	287	862
25	292	833
26	297	804
27	302	777
28	307	752
29	312	728
30	317	707
31	322	685
32	327	664
33	332	645
34	337	626
35	342	608
36	347	591
37	352	574
38	357	558
39	362	543
40	367	528
41	372	514
42	377	500
43	382	487
44	388	474
45	393	462
46	400	452
47	406	440
48	411	428
49	416	416
50	422	405
51	426	394
52	431	382
53	437	372
54	442	361
55	447	351
56	453	342
57	458	331
58	463	322
59	468	312
60	473	302
61	479	293
62	484	284
63	491	276
64	496	267
65	501	258
66	507	249
67	513	241
68	519	233
69	526	225
70	532	217
71	538	209
72	543	201
73	550	193
74	556	185
75	562	177
76	569	169
77	575	162
78	582	154
79	587	146
80	592	139
81	598	131
82	603	123
83	609	116
84	614	108
85	620	100
86	625	93
87	631	86
88	637	78
89	642	71
90	649	64
91	654	56
92	660	49
93	665	42
94	670	35
95	676	28
96	680	21
97	685	13
98	690	6
99	695	0
